director_name,duration,gross,genre,movie_title,language,country,budget,imdb_score,,,,,,,,,,,,,,,,,,,,,,
Tate Taylor,146,169705587,Drama,The Help ,English,USA,25000000,8.1,,,,,,,,,,,,,,,,,,,,,,
Bill Condon,128,3254172,Biography,The Fifth Estate ,English,USA,28000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Raja Gosnell,93,84185387,Adventure,Scooby-Doo 2: Monsters Unleashed ,English,USA,80000000,4.9,,,,,,,,,,,,,,,,,,,,,,
Ronny Yu,97,82163317,Action,Freddy vs. Jason ,English,USA,30000000,5.8,,,,,,,,,,,,,,,,,,,,,,
John A. Davis,82,80920948,Action,Jimmy Neutron: Boy Genius ,English,USA,30000000,6,,,,,,,,,,,,,,,,,,,,,,
Matt Reeves,85,80034302,Action,Cloverfield ,English,USA,25000000,7,,,,,,,,,,,,,,,,,,,,,,
Michael Pressman,88,78656813,Action,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,English,USA,25000000,6,,,,,,,,,,,,,,,,,,,,,,
Brian De Palma,119,76270454,Crime,The Untouchables ,English,USA,25000000,7.9,,,,,,,,,,,,,,,,,,,,,,
Ethan Coen,122,74273505,Crime,No Country for Old Men ,English,USA,25000000,8.1,,,,,,,,,,,,,,,,,,,,,,
Tim Story,99,134141530,Action,Ride Along ,English,USA,25000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Sharon Maguire,97,71500556,Comedy,Bridget Jones's Diary ,English,UK,26000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Lasse Hallström,121,71309760,Drama,Chocolat ,English,UK,25000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Charles Herman-Wurmfeld,95,89808372,Comedy,"Legally Blonde 2: Red, White & Blonde ",English,USA,45000000,4.6,,,,,,,,,,,,,,,,,,,,,,
Andy Fickman,105,77264926,Comedy,Parental Guidance ,English,USA,25000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Ivan Reitman,108,70625986,Comedy,No Strings Attached ,English,USA,25000000,6.2,,,,,,,,,,,,,,,,,,,,,,
George P. Cosmatos,134,56505065,Action,Tombstone ,English,USA,25000000,7.8,,,,,,,,,,,,,,,,,,,,,,
Andrzej Bartkowiak,115,55973336,Action,Romeo Must Die ,English,USA,25000000,6.1,,,,,,,,,,,,,,,,,,,,,,
James Wong,86,54098051,Horror,Final Destination 3 ,English,Germany,25000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Scott Hicks,101,60443237,Drama,The Lucky One ,English,USA,25000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Gabor Csupo,96,82234139,Adventure,Bridge to Terabithia ,English,USA,17000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Marc Forster,101,51676606,Biography,Finding Neverland ,English,USA,25000000,7.8,,,,,,,,,,,,,,,,,,,,,,
Tyler Perry,100,52528330,Comedy,A Madea Christmas ,English,USA,25000000,4.7,,,,,,,,,,,,,,,,,,,,,,
Joe Carnahan,117,51533608,Action,The Grey ,English,USA,25000000,6.8,,,,,,,,,,,,,,,,,,,,,,
John Polson,101,51097664,Drama,Hide and Seek ,English,USA,30000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Adam McKay,98,84136909,Comedy,Anchorman: The Legend of Ron Burgundy ,English,USA,26000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Martin Scorsese,146,46836394,Biography,Goodfellas ,English,USA,25000000,8.7,,,,,,,,,,,,,,,,,,,,,,
Harald Zwart,102,47285499,Action,Agent Cody Banks ,English,USA,26000000,5,,,,,,,,,,,,,,,,,,,,,,
Kirk Jones,97,47124400,Comedy,Nanny McPhee ,English,USA,25000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Brian De Palma,142,44700000,Crime,Scarface ,English,USA,25000000,8.3,,,,,,,,,,,,,,,,,,,,,,
Steve Oedekerk,98,44455658,Action,Nothing to Lose ,English,USA,25000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Bernardo Bertolucci,219,43984230,Biography,The Last Emperor ,English,China,23000000,7.8,,,,,,,,,,,,,,,,,,,,,,
Baltasar Kormákur,109,66489425,Action,Contraband ,English,USA,25000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Brett Ratner,97,41067398,Action,Money Talks ,English,USA,25000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Paul Thomas Anderson,158,40218903,Drama,There Will Be Blood ,English,USA,25000000,8.1,,,,,,,,,,,,,,,,,,,,,,
Cathy Malkasian,85,39880476,Adventure,The Wild Thornberrys Movie ,English,USA,25000000,5.2,,,,,,,,,,,,,,,,,,,,,,
John Eng,80,39399750,Adventure,Rugrats Go Wild ,English,USA,25000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Malcolm D. Lee,86,38230435,Action,Undercover Brother ,English,USA,25000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Ken Kwapis,119,39008741,Comedy,The Sisterhood of the Traveling Pants ,English,USA,25000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Chris Nahon,98,36833473,Action,Kiss of the Dragon ,English,France,25000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Fred Wolf,97,48237389,Comedy,The House Bunny ,English,USA,25000000,5.5,,,,,,,,,,,,,,,,,,,,,,
Craig Gillespie,124,36447959,Biography,Million Dollar Arm ,English,USA,25000000,7,,,,,,,,,,,,,,,,,,,,,,
Phillip Noyce,97,45089048,Drama,The Giver ,English,South Africa,25000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Dennie Gordon,105,35990505,Comedy,What a Girl Wants ,English,USA,20000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Victor Salva,104,35143332,Horror,Jeepers Creepers II ,English,USA,17000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Mark Helfrich,101,35000629,Comedy,Good Luck Chuck ,English,USA,25000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Andrzej Bartkowiak,101,34604054,Action,Cradle 2 the Grave ,English,USA,30000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Stephen Daldry,114,41597830,Drama,The Hours ,English,USA,25000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Andy Fickman,105,33687630,Comedy,She's the Man ,English,USA,20000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Steve Bendelack,90,32553210,Comedy,Mr. Bean's Holiday ,English,UK,25000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Dwight H. Little,97,31526393,Action,Anacondas: The Hunt for the Blood Orchid ,English,USA,25000000,4.6,,,,,,,,,,,,,,,,,,,,,,
Guillaume Canet,144,41229,Crime,Blood Ties ,English,France,25500000,6.5,,,,,,,,,,,,,,,,,,,,,,
Kirsten Sheridan,114,31655091,Drama,August Rush ,English,USA,30000000,7.5,,,,,,,,,,,,,,,,,,,,,,
Shekhar Kapur,124,30012990,Biography,Elizabeth ,English,UK,25000000,7.5,,,,,,,,,,,,,,,,,,,,,,
Ronny Yu,89,32368960,Comedy,Bride of Chucky ,English,Canada,25000000,5.3,,,,,,,,,,,,,,,,,,,,,,
Richard Fleischer,160,14500000,Action,Tora! Tora! Tora! ,English,Japan,25000000,7.5,,,,,,,,,,,,,,,,,,,,,,
Bob Spiers,93,29247405,Comedy,Spice World ,English,UK,25000000,3.3,,,,,,,,,,,,,,,,,,,,,,
Damien Dante Wayans,88,25615792,Action,Dance Flick ,English,USA,25000000,3.5,,,,,,,,,,,,,,,,,,,,,,
Frank Darabont,142,28341469,Crime,The Shawshank Redemption ,English,USA,25000000,9.3,,,,,,,,,,,,,,,,,,,,,,
Simon Wincer,92,25590119,Adventure,Crocodile Dundee in Los Angeles ,English,Australia,21150000,4.8,,,,,,,,,,,,,,,,,,,,,,
Bobby Farrelly,117,24944213,Comedy,Kingpin ,English,USA,27000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Rupert Wyatt,111,33631221,Crime,The Gambler ,English,USA,25000000,6,,,,,,,,,,,,,,,,,,,,,,
John Wells,121,37738400,Drama,August: Osage County ,English,USA,25000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Nigel Cole,107,21835784,Comedy,A Lot Like Love ,English,USA,30000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Dexter Fletcher,106,15785632,Biography,Eddie the Eagle ,English,UK,23000000,7.5,,,,,,,,,,,,,,,,,,,,,,
Spike Lee,136,21554585,Drama,He Got Game ,English,USA,25000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Jeremy Leven,97,22200000,Comedy,Don Juan DeMarco ,English,USA,25000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Lasse Hallström,108,80014842,Drama,Dear John ,English,USA,25000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Sylvain White,97,23527955,Action,The Losers ,English,USA,25000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Troy Nixey,99,24042490,Fantasy,Don't Be Afraid of the Dark ,English,USA,25000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Philip G. Atwell,103,22466994,Action,War ,English,USA,25000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Paul Thomas Anderson,95,17791031,Comedy,Punch-Drunk Love ,English,USA,25000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Jeff Schaffer,93,17718223,Comedy,EuroTrip ,English,USA,25000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Don Michael Paul,98,15361537,Action,Half Past Dead ,English,Germany,13000000,4.6,,,,,,,,,,,,,,,,,,,,,,
Paul Feig,90,16647384,Adventure,Unaccompanied Minors ,English,USA,26000000,5.1,,,,,,,,,,,,,,,,,,,,,,
James Bridges,107,16118077,Drama,"Bright Lights, Big City ",English,USA,25000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Steve Barron,90,15091542,Adventure,The Adventures of Pinocchio ,Italian,UK,25000000,5.3,,,,,,,,,,,,,,,,,,,,,,
Richard Kelly,115,15045676,Drama,The Box ,English,USA,16000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Carter Smith,93,17427926,Horror,The Ruins ,English,USA,8000000,5.9,,,,,,,,,,,,,,,,,,,,,,
John Schlesinger,99,14983572,Comedy,The Next Best Thing ,English,USA,25000000,4.7,,,,,,,,,,,,,,,,,,,,,,
Wes Craven,107,14637490,Horror,My Soul to Take ,English,USA,25000000,4.8,,,,,,,,,,,,,,,,,,,,,,
Luke Greenfield,110,14589444,Comedy,The Girl Next Door ,English,USA,25000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Ringo Lam,101,14095303,Action,Maximum Risk ,English,USA,25000000,5.4,,,,,,,,,,,,,,,,,,,,,,
Bruce McCulloch,85,13973532,Comedy,Stealing Harvard ,English,USA,25000000,5.1,,,,,,,,,,,,,,,,,,,,,,
Brian Helgeland,132,1865774,Biography,Legend ,English,UK,30000000,7,,,,,,,,,,,,,,,,,,,,,,
David R. Ellis,90,18860403,Horror,Shark Night 3D ,English,USA,25000000,4,,,,,,,,,,,,,,,,,,,,,,
Alan Parker,145,13038660,Drama,Angela's Ashes ,English,USA,25000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Ivan Reitman,110,28831145,Drama,Draft Day ,English,USA,25000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Robert Redford,122,11538204,Crime,The Conspirator ,English,USA,25000000,7,,,,,,,,,,,,,,,,,,,,,,
Catherine Hardwicke,107,11008432,Biography,Lords of Dogtown ,English,USA,25000000,7.1,,,,,,,,,,,,,,,,,,,,,,
Patricia Riggen,127,12188642,Biography,The 33 ,English,Chile,26000000,6.9,,,,,,,,,,,,,,,,,,,,,,
John Carpenter,99,11100000,Action,Big Trouble in Little China ,English,USA,25000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Gavin O'Connor,140,13651662,Drama,Warrior ,English,USA,25000000,8.2,,,,,,,,,,,,,,,,,,,,,,
Neil Jordan,133,11030963,Biography,Michael Collins ,English,UK,28000000,7.1,,,,,,,,,,,,,,,,,,,,,,
Ron Maxwell,271,10769960,Drama,Gettysburg ,English,USA,25000000,7.7,,,,,,,,,,,,,,,,,,,,,,
Kimberly Peirce,112,10911750,Drama,Stop-Loss ,English,USA,25000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Stephen Gaghan,99,10719367,Drama,Abandon ,English,USA,25000000,4.9,,,,,,,,,,,,,,,,,,,,,,
Jonathan Kaplan,100,10114315,Drama,Brokedown Palace ,English,USA,25000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Ole Bornedal,92,49122319,Horror,The Possession ,English,USA,14000000,5.9,,,,,,,,,,,,,,,,,,,,,,
Richard Benjamin,105,10070000,Comedy,Mrs. Winterbourne ,English,USA,25000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Rod Lurie,110,10324441,Action,Straw Dogs ,English,USA,25000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Lasse Hallström,116,7156933,Comedy,The Hoax ,English,USA,25000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Craig R. Baxley,88,9286314,Action,Stone Cold ,English,USA,17000000,5.9,,,,,,,,,,,,,,,,,,,,,,
John Hillcoat,111,56692,Adventure,The Road ,English,USA,25000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Marcos Siega,95,5654777,Action,Underclassman ,English,USA,25000000,4.1,,,,,,,,,,,,,,,,,,,,,,
J.B. Rogers,95,5516708,Comedy,Say It Isn't So ,English,USA,25000000,4.9,,,,,,,,,,,,,,,,,,,,,,
Roger Donaldson,127,5128124,Biography,The World's Fastest Indian ,English,New Zealand,25000000,7.9,,,,,,,,,,,,,,,,,,,,,,
David R. Ellis,105,34014398,Action,Snakes on a Plane ,English,Germany,33000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Rachel Talalay,104,4064333,Action,Tank Girl ,English,USA,25000000,5.2,,,,,,,,,,,,,,,,,,,,,,
Jeffrey W. Byrd,95,4006906,Comedy,King's Ransom ,English,USA,15000000,4.1,,,,,,,,,,,,,,,,,,,,,,
Fernando Meirelles,121,3073392,Drama,Blindness ,English,Canada,25000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Uwe Boll,92,1550000,Action,BloodRayne ,English,USA,25000000,2.9,,,,,,,,,,,,,,,,,,,,,,
Atom Egoyan,107,871527,Crime,Where the Truth Lies ,English,Canada,25000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Robert Towne,117,777423,Biography,Without Limits ,English,USA,25000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Richard Linklater,107,1186957,Drama,Me and Orson Welles ,English,UK,25000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Giuseppe Tornatore,131,85433,Crime,The Best Offer ,English,Italy,13500000,7.8,,,,,,,,,,,,,,,,,,,,,,
Werner Herzog,122,1697956,Crime,Bad Lieutenant: Port of Call New Orleans ,English,USA,20000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Guillaume Canet,134,183662,Comedy,Little White Lies ,French,France,25000000,7.1,,,,,,,,,,,,,,,,,,,,,,
Taylor Hackford,117,134904,Comedy,Love Ranch ,English,USA,25000000,5.7,,,,,,,,,,,,,,,,,,,,,,
Ridley Scott,138,16969390,Crime,The Counselor ,English,USA,25000000,5.3,,,,,,,,,,,,,,,,,,,,,,
Teddy Chan,100,129115,Action,Kung Fu Killer ,Cantonese,China,25000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Stephen Frears,119,34700000,Drama,Dangerous Liaisons ,English,USA,14000000,7.7,,,,,,,,,,,,,,,,,,,,,,
Walter Salles,137,717753,Adventure,On the Road ,English,France,25000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Leonard Nimoy,119,109713132,Adventure,Star Trek IV: The Voyage Home ,English,USA,25000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Sylvester Stallone,139,70269171,Drama,Rocky Balboa ,English,USA,24000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Ericson Core,114,28772222,Action,Point Break ,English,USA,105000000,5.3,,,,,,,,,,,,,,,,,,,,,,
Wes Craven,120,101334374,Horror,Scream 2 ,English,USA,24000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Gavin O'Connor,98,1512815,Action,Jane Got a Gun ,English,USA,25000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Tim Story,106,65182182,Comedy,Think Like a Man Too ,English,USA,24000000,5.7,,,,,,,,,,,,,,,,,,,,,,
Jonathan Lynn,98,57262492,Comedy,The Whole Nine Yards ,English,USA,24000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Herbert Ross,107,80000000,Drama,Footloose ,English,USA,8200000,6.5,,,,,,,,,,,,,,,,,,,,,,
Todd Phillips,88,74608545,Comedy,Old School ,English,USA,24000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Terry Gilliam,137,41895491,Comedy,The Fisher King ,English,USA,24000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Danny Cannon,100,39989008,Horror,I Still Know What You Did Last Summer ,English,USA,24000000,4.6,,,,,,,,,,,,,,,,,,,,,,
Bonnie Hunt,115,32662299,Comedy,Return to Me ,English,USA,24000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Kevin Smith,101,31452765,Comedy,Zack and Miri Make a Porno ,English,USA,24000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Neil LaBute,110,25167270,Comedy,Nurse Betty ,English,Germany,24000000,6.3,,,,,,,,,,,,,,,,,,,,,,
Grant Heslov,94,32416109,Comedy,The Men Who Stare at Goats ,English,USA,25000000,6.2,,,,,,,,,,,,,,,,,,,,,,
George Gallo,88,20218,Action,Double Take ,English,USA,24000000,5.3,,,,,,,,,,,,,,,,,,,,,,
James Mangold,127,28871190,Biography,"Girl, Interrupted ",English,USA,24000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Robert Luketic,95,16964743,Comedy,Win a Date with Tad Hamilton! ,English,USA,24000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Tim Hill,87,16290976,Adventure,Muppets from Space ,English,USA,24000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Sidney Lumet,118,13000000,Adventure,The Wiz ,English,USA,24000000,5.2,,,,,,,,,,,,,,,,,,,,,,
Brian Robbins,107,12372410,Comedy,Ready to Rumble ,English,USA,24000000,5.3,,,,,,,,,,,,,,,,,,,,,,
Ron Shelton,124,8427204,Comedy,Play It to the Bone ,English,USA,24000000,5.4,,,,,,,,,,,,,,,,,,,,,,
Douglas McGrath,89,9639242,Comedy,I Don't Know How She Does It ,English,USA,24000000,4.9,,,,,,,,,,,,,,,,,,,,,,
Alexandre Aja,88,25003072,Comedy,Piranha 3D ,English,USA,24000000,5.5,,,,,,,,,,,,,,,,,,,,,,
Kevin Spacey,118,6144806,Biography,Beyond the Sea ,English,USA,23000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Steve Boyum,93,4308981,Comedy,Meet the Deedles ,English,USA,24000000,3.9,,,,,,,,,,,,,,,,,,,,,,
Richard Williams,80,669276,Action,The Princess and the Cobbler ,English,UK,28000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Mary McGuckian,120,42880,Drama,The Bridge of San Luis Rey ,English,UK,24000000,5.1,,,,,,,,,,,,,,,,,,,,,,
George Tillman Jr.,98,23225911,Action,Faster ,English,USA,24000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Hayao Miyazaki,119,4710455,Adventure,Howl's Moving Castle ,Japanese,Japan,24000000,8.2,,,,,,,,,,,,,,,,,,,,,,
Ruben Fleischer,88,75590286,Adventure,Zombieland ,English,USA,23600000,7.7,,,,,,,,,,,,,,,,,,,,,,
Peter Jackson,201,218051260,Action,King Kong ,English,New Zealand,207000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Frank Coraci,90,161487252,Comedy,The Waterboy ,English,USA,20000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Irvin Kershner,127,290158751,Action,Star Wars: Episode V - The Empire Strikes Back ,English,USA,18000000,8.8,,,,,,,,,,,,,,,,,,,,,,
Michael Bay,119,65807024,Action,Bad Boys ,English,USA,19000000,6.8,,,,,,,,,,,,,,,,,,,,,,
David Zucker,85,86930411,Comedy,The Naked Gun 2½: The Smell of Fear ,English,USA,23000000,6.8,,,,,,,,,,,,,,,,,,,,,,
James Wong,98,53302314,Horror,Final Destination ,English,USA,23000000,6.7,,,,,,,,,,,,,,,,,,,,,,
George Clooney,101,40962534,Drama,The Ides of March ,English,USA,12500000,7.1,,,,,,,,,,,,,,,,,,,,,,
David Twohy,112,39235088,Horror,Pitch Black ,English,USA,23000000,7.1,,,,,,,,,,,,,,,,,,,,,,
Tony Goldwyn,97,27338033,Comedy,Someone Like You... ,English,USA,23000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Spike Jonze,126,25556065,Drama,Her ,English,USA,23000000,8,,,,,,,,,,,,,,,,,,,,,,
Dexter Fletcher,106,15785632,Biography,Eddie the Eagle ,English,UK,23000000,7.5,,,,,,,,,,,,,,,,,,,,,,
John Dahl,97,21973182,Mystery,Joy Ride ,English,USA,23000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Jonathan Newman,100,4756,Adventure,The Adventurer: The Curse of the Midas Box ,English,UK,25000000,5.4,,,,,,,,,,,,,,,,,,,,,,
Wayne Wang,114,18653615,Comedy,Anywhere But Here ,English,USA,23000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Andy Cadiff,101,12189514,Comedy,Chasing Liberty ,English,USA,23000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Michael Dinner,88,13019253,Comedy,The Crew ,English,USA,23000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Steven Soderbergh,93,18934858,Action,Haywire ,English,Ireland,23000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Joseph Sargent,92,20763013,Adventure,Jaws: The Revenge ,English,USA,23000000,2.8,,,,,,,,,,,,,,,,,,,,,,
Jerry Zaks,98,12782508,Drama,Marvin's Room ,English,USA,23000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Fred Durst,94,11508423,Biography,The Longshots ,English,USA,23000000,5.1,,,,,,,,,,,,,,,,,,,,,,
Neil Jordan,102,10660147,Drama,The End of the Affair ,English,UK,23000000,7.2,,,,,,,,,,,,,,,,,,,,,,
Simon Wincer,98,7434726,Action,Harley Davidson and the Marlboro Man ,English,USA,23000000,6,,,,,,,,,,,,,,,,,,,,,,
Anne Fontaine,111,6109075,Biography,Coco Before Chanel ,French,France,19430000,6.7,,,,,,,,,,,,,,,,,,,,,,
Stephen Frears,100,2708188,Comedy,Chéri ,English,UK,23000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Mira Nair,141,16123851,Drama,Vanity Fair ,English,USA,23000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Mikael Håfström,114,71975611,Fantasy,1408 ,English,USA,25000000,6.8,,,,,,,,,,,,,,,,,,,,,,
Mel Brooks,96,38119483,Adventure,Spaceballs ,English,USA,22700000,7.1,,,,,,,,,,,,,,,,,,,,,,
Russell Crowe,111,4190530,Drama,The Water Diviner ,English,Australia,22500000,7.1,,,,,,,,,,,,,,,,,,,,,,
Jerry Zucker,127,217631306,Drama,Ghost ,English,USA,22000000,7,,,,,,,,,,,,,,,,,,,,,,
Bobby Farrelly,107,176483808,Comedy,There's Something About Mary ,English,USA,23000000,7.1,,,,,,,,,,,,,,,,,,,,,,
John Pasquin,97,144833357,Comedy,The Santa Clause ,English,USA,22000000,6.4,,,,,,,,,,,,,,,,,,,,,,
John Lee Hancock,127,75597042,Drama,The Rookie ,English,USA,20000000,7,,,,,,,,,,,,,,,,,,,,,,
Andy Fickman,110,90636983,Comedy,The Game Plan ,English,USA,22000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Clint Eastwood,135,70960517,Drama,The Bridges of Madison County ,English,USA,35000000,7.5,,,,,,,,,,,,,,,,,,,,,,
Luke Greenfield,84,55762229,Comedy,The Animal ,English,USA,22000000,4.8,,,,,,,,,,,,,,,,,,,,,,
Lasse Hallström,122,54235441,Comedy,The Hundred-Foot Journey ,English,USA,22000000,7.3,,,,,,,,,,,,,,,,,,,,,,
Irwin Winkler,114,50728000,Action,The Net ,English,USA,22000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Jessie Nelson,132,40270895,Drama,I Am Sam ,English,USA,22000000,7.6,,,,,,,,,,,,,,,,,,,,,,
Christopher Spencer,170,59696176,Biography,Son of God ,English,USA,22000000,5.6,,,,,,,,,,,,,,,,,,,,,,
Len Wiseman,133,51483949,Action,Underworld ,English,UK,22000000,7,,,,,,,,,,,,,,,,,,,,,,
Mikael Håfström,112,36020063,Drama,Derailed ,English,USA,22000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Steven Soderbergh,108,33313582,Comedy,The Informant! ,English,USA,21000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Richard Attenborough,115,25842000,Biography,Shadowlands ,English,UK,22000000,7.4,,,,,,,,,,,,,,,,,,,,,,
Mike Bigelow,83,22264487,Comedy,Deuce Bigalow: European Gigolo ,English,USA,22000000,4.6,,,,,,,,,,,,,,,,,,,,,,
Ken Scott,105,30659817,Comedy,Delivery Man ,English,USA,26000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Paul McGuigan,110,5773519,Drama,Victor Frankenstein ,English,USA,40000000,6,,,,,,,,,,,,,,,,,,,,,,
Dennis Dugan,96,19351569,Comedy,Saving Silverman ,English,USA,22000000,5.9,,,,,,,,,,,,,,,,,,,,,,
David Bowers,94,49002815,Comedy,Diary of a Wimpy Kid: Dog Days ,English,USA,22000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Spike Lee,142,19283782,Crime,Summer of Sam ,English,USA,22000000,6.6,,,,,,,,,,,,,,,,,,,,,,
Kevin Smith,104,30059386,Comedy,Jay and Silent Bob Strike Back ,English,USA,22000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Michael Bay,136,35799026,Action,The Island ,English,USA,126000000,6.9,,,,,,,,,,,,,,,,,,,,,,
Daniel Sackheim,106,17951431,Crime,The Glass House ,English,USA,30000000,5.8,,,,,,,,,,,,,,,,,,,,,,
Ethan Coen,106,29997095,Comedy,"Hail, Caesar! ",English,UK,22000000,6.4,,,,,,,,,,,,,,,,,,,,,,
Harry Elfont,98,14252830,Comedy,Josie and the Pussycats ,English,Canada,22000000,5.3,,,,,,,,,,,,,,,,,,,,,,
Gary Fleder,100,19783777,Action,Homefront ,English,USA,22000000,6.5,,,,,,,,,,,,,,,,,,,,,,
Uli Edel,95,13555988,Adventure,The Little Vampire ,English,Germany,22000000,5.7,,,,,,,,,,,,,,,,,,,,,,
David O. Russell,107,12784713,Comedy,I Heart Huckabees ,English,USA,22000000,6.7,,,,,,,,,,,,,,,,,,,,,,
Fred Dekker,104,10696210,Action,RoboCop 3 ,English,USA,23500000,3.9,,,,,,,,,,,,,,,,,,,,,,
Brian Trenchard-Smith,104,5974653,Action,Megiddo: The Omega Code 2 ,English,USA,22000000,4.1,,,,,,,,,,,,,,,,,,,,,,
Blake Edwards,143,5000000,Comedy,Darling Lili ,English,USA,25000000,6.2,,,,,,,,,,,,,,,,,,,,,,
Hugh Wilson,77,9694105,Comedy,Dudley Do-Right ,English,USA,22000000,3.8,,,,,,,,,,,,,,,,,,,,,,
Camille Delamarre,96,16027866,Action,The Transporter Refueled ,English,France,25000000,5.1,,,,,,,,,,,,,,,,,,,,,,
Paul Verhoeven,145,4398392,Drama,Black Book ,Dutch,Netherlands,21000000,7.8,,,,,,,,,,,,,,,,,,,,,,
Christian Carion,116,1050445,Drama,Joyeux Noel ,French,France,22000000,7.8,,,,,,,,,,,,,,,,,,,,,,
David Palmer,100,13746550,Action,Hit and Run ,English,USA,2000000,6.1,,,,,,,,,,,,,,,,,,,,,,
Callie Khouri,104,20668843,Comedy,Mad Money ,English,USA,22000000,5.8,,,,,,,,,,,,,,,,,,,,,,
